plate_pair,plate,well,ecotype,site,seed_family,water_potential,cold_stratification,Date,Day
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,4/28/23,4
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,4/28/23,4
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,4/28/23,4
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,4/28/23,4
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,4/28/23,4
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,4/28/23,4
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,5/1/23,7
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,5/8/23,14
18,18_A,18_A_A,Iteroparous,I2,I2_4,-0.5,Cold stratified,5/8/23,14
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/1/23,7
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/3/23,9
18,18_A,18_A_D,Semelparous,S1,S1_16,-0.5,Not cold stratified,5/3/23,9
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_A,18_A_E,Iteroparous,I1,I1_6,-0.5,Not cold stratified,4/28/23,4
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/26/23,2
18,18_B,18_B_C,Semelparous,S3,S3_13,0,Cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
18,18_B,18_B_D,Iteroparous,I3,I3_10,0,Not cold stratified,4/28/23,4
