plate_pair,plate,well,ecotype,site,seed_family,cold_stratification,water_potential,num_germinated_seeds,num_tz_category1,num_tz_category2,num_tz_category3,num_tz_category4
54,54_B,54_B_C,Semelparous,S3,S3_4,Not cold stratified,-0.5,0,8,0,2,0
54,54_B,54_B_D,Semelparous,S1,S1_29,Not cold stratified,0,0,5,0,1,0
54,54_B,54_B_E,Iteroparous,I2,I2_10,Not cold stratified,-0.5,8,0,0,1,1
54,54_B,54_B_F,Iteroparous,I3,I3_13,Not cold stratified,-1,0,0,0,0,5
55,55_A,55_A_A,Iteroparous,I2,I2_12,Cold stratified,0,10,0,0,0,0
55,55_A,55_A_B,Iteroparous,I3,I3_13,Cold stratified,0,0,9,0,0,0
55,55_A,55_A_E,Semelparous,S3,S3_6,Cold stratified,-1,0,4,6,0,0
55,55_A,55_A_F,Iteroparous,I1,I1_14,Cold stratified,-1,0,9,0,0,0
55,55_B,55_B_A,Semelparous,S2,S2_7,Cold stratified,0,8,0,0,2,0
55,55_B,55_B_F,Semelparous,S1,S1_10,Not cold stratified,-0.5,4,1,0,1,4
56,56_A,56_A_A,Iteroparous,I3,I3_6,Not cold stratified,0,5,0,0,0,0
56,56_A,56_A_B,Semelparous,S2,S2_5,Cold stratified,0,11,0,0,0,0
56,56_A,56_A_F,Semelparous,S3,S3_16,Not cold stratified,-1,1,7,3,0,0
56,56_B,56_B_C,Iteroparous,I1,I1_19,Not cold stratified,-0.5,9,0,0,0,1
56,56_B,56_B_E,Iteroparous,I2,I2_11,Cold stratified,-1,0,6,0,0,2
56,56_B,56_B_F,Semelparous,S1,S1_11,Cold stratified,-0.5,3,5,0,0,1
57,57_A,57_A_A,Iteroparous,I2,I2_7,Not cold stratified,-0.5,10,0,0,0,0
57,57_A,57_A_B,Semelparous,S3,S3_2,Not cold stratified,-1,0,6,2,2,0
57,57_A,57_A_D,Semelparous,S2,S2_6,Cold stratified,0,9,0,0,1,0
57,57_B,57_B_A,Iteroparous,I3,I3_20,Cold stratified,0,9,0,0,0,1
57,57_B,57_B_C,Iteroparous,I1,I1_14,Cold stratified,-0.5,4,5,0,0,0
57,57_B,57_B_E,Semelparous,S1,S1_15,Cold stratified,0,5,0,0,0,5
58,58_A,58_A_B,Iteroparous,I3,I3_1,Cold stratified,-0.5,7,3,0,0,0
58,58_A,58_A_C,Semelparous,S3,S3_14,Cold stratified,-0.5,0,7,0,3,0
58,58_A,58_A_E,Semelparous,S2,S2_3,Not cold stratified,-1,1,8,1,0,0
58,58_B,58_B_A,Semelparous,S1,S1_8,Cold stratified,-1,0,0,0,0,9
58,58_B,58_B_B,Iteroparous,I2,I2_12,Not cold stratified,-1,4,5,0,0,1
58,58_B,58_B_D,Iteroparous,I1,I1_6,Cold stratified,0,9,0,0,0,1
59,59_A,59_A_A,Semelparous,S2,S2_7,Not cold stratified,-1,0,10,0,0,0
59,59_A,59_A_C,Semelparous,S1,S1_2,Cold stratified,-0.5,1,1,2,0,0
59,59_A,59_A_D,Iteroparous,I3,I3_10,Not cold stratified,-0.5,4,5,0,0,2
59,59_A,59_A_F,Iteroparous,I2,I2_10,Cold stratified,-1,0,9,0,1,0
59,59_B,59_B_B,Iteroparous,I1,I1_8,Cold stratified,-0.5,6,3,0,1,0
59,59_B,59_B_C,Semelparous,S3,S3_7,Not cold stratified,-0.5,0,9,0,0,0
5,5_A,5_A_A,Semelparous,S2,S2_8,Cold stratified,0,9,0,0,0,1
5,5_A,5_A_B,Semelparous,S1,S1_28,Cold stratified,-0.5,8,0,2,0,0
5,5_A,5_A_C,Iteroparous,I2,I2_9,Cold stratified,-0.5,9,0,0,0,0
5,5_B,5_B_B,Iteroparous,I3,I3_5,Not cold stratified,0,3,1,0,0,0
5,5_B,5_B_E,Semelparous,S3,S3_2,Cold stratified,-0.5,0,2,7,0,0
5,5_B,5_B_F,Iteroparous,I1,I1_12,Cold stratified,-1,1,7,0,0,2
60,60_A,60_A_D,Iteroparous,I1,I1_18,Cold stratified,-1,1,3,1,3,3
60,60_A,60_A_E,Iteroparous,I3,I3_14,Cold stratified,0,0,7,0,1,0
60,60_B,60_B_B,Iteroparous,I2,I2_10,Not cold stratified,0,9,0,0,0,1
60,60_B,60_B_C,Semelparous,S1,S1_12,Cold stratified,-0.5,4,2,0,0,5
60,60_B,60_B_E,Semelparous,S3,S3_13,Not cold stratified,0,0,10,0,0,0
60,60_B,60_B_F,Semelparous,S2,S2_8,Cold stratified,-0.5,1,1,0,0,0
6,6_A,6_A_A,Semelparous,S1,S1_8,Cold stratified,0,0,0,0,0,8
6,6_A,6_A_B,Iteroparous,I3,I3_6,Cold stratified,-0.5,2,2,0,0,1
6,6_A,6_A_C,Semelparous,S2,S2_2,Cold stratified,0,10,0,0,0,0
6,6_A,6_A_E,Iteroparous,I2,I2_4,Cold stratified,-1,2,4,0,0,4
6,6_B,6_B_C,Iteroparous,I1,I1_4,Not cold stratified,-0.5,8,0,0,0,0
6,6_B,6_B_E,Semelparous,S3,S3_2,Cold stratified,-1,0,5,2,0,0
7,7_A,7_A_B,Iteroparous,I3,I3_6,Not cold stratified,-0.5,2,3,0,0,0
7,7_A,7_A_D,Iteroparous,I1,I1_20,Not cold stratified,-1,0,9,0,0,0
7,7_A,7_A_E,Semelparous,S3,S3_20,Not cold stratified,0,1,10,0,0,0
7,7_A,7_A_F,Semelparous,S2,S2_6,Cold stratified,-0.5,2,6,1,0,0
7,7_B,7_B_B,Iteroparous,I2,I2_4,Cold stratified,0,8,0,0,0,1
7,7_B,7_B_E,Semelparous,S1,S1_28,Cold stratified,0,10,0,0,0,0
8,8_A,8_A_D,Iteroparous,I1,I1_20,Cold stratified,0,6,1,0,0,1
8,8_B,8_B_A,Semelparous,S1,S1_8,Cold stratified,-0.5,0,0,0,0,8
8,8_B,8_B_B,Iteroparous,I3,I3_6,Cold stratified,0,3,1,0,0,0
8,8_B,8_B_C,Semelparous,S3,S3_6,Not cold stratified,-1,0,10,0,1,0
8,8_B,8_B_D,Iteroparous,I2,I2_5,Cold stratified,0,10,0,0,0,0
8,8_B,8_B_E,Semelparous,S2,S2_4,Cold stratified,0,4,0,1,0,0
9,9_A,9_A_A,Iteroparous,I2,I2_7,Not cold stratified,0,9,0,1,0,0
9,9_A,9_A_B,Semelparous,S3,S3_16,Cold stratified,0,9,0,0,0,0
9,9_A,9_A_C,Semelparous,S1,S1_12,Not cold stratified,-1,0,5,0,0,5
9,9_B,9_B_A,Iteroparous,I1,I1_18,Cold stratified,0,10,0,0,0,0
9,9_B,9_B_D,Iteroparous,I3,I3_6,Cold stratified,-1,1,4,0,0,0
9,9_B,9_B_F,Semelparous,S2,S2_2,Not cold stratified,0,1,9,0,0,0
